epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,89.6566,0.88917,0.97435,0.95904,0.54662,0.61197,0.61898,0.40982,1.13363,0.83013,1.13198,8.11265e-05,8.11265e-05,8.11265e-05
85,90.8093,0.89753,0.91674,0.95182,0.54465,0.61197,0.61087,0.40685,1.12671,0.82257,1.12711,7.6622e-05,7.6622e-05,7.6622e-05
86,91.8427,0.87278,1.00508,0.94306,0.53502,0.59727,0.60224,0.40956,1.12402,0.81631,1.12814,7.21175e-05,7.21175e-05,7.21175e-05
87,92.9373,0.90993,0.98493,0.98152,0.52902,0.59727,0.60386,0.41092,1.12484,0.81066,1.13196,6.7613e-05,6.7613e-05,6.7613e-05
88,93.9392,0.86318,0.96778,0.94397,0.55763,0.65609,0.63004,0.42976,1.12142,0.80458,1.13162,6.31085e-05,6.31085e-05,6.31085e-05
89,94.8758,0.87104,0.9601,0.94978,0.56939,0.66786,0.64331,0.42855,1.11844,0.80116,1.13216,5.8604e-05,5.8604e-05,5.8604e-05
90,95.8941,0.88966,0.93864,0.95553,0.5923,0.64262,0.64564,0.42462,1.12108,0.79914,1.13332,5.40995e-05,5.40995e-05,5.40995e-05
91,115.705,0.89096,0.97048,0.9526,0.59121,0.64177,0.64191,0.42558,1.11863,0.79863,1.13165,4.9595e-05,4.9595e-05,4.9595e-05
92,116.722,0.86518,0.92838,0.96915,0.58538,0.67721,0.65861,0.43655,1.11937,0.79727,1.1386,4.50905e-05,4.50905e-05,4.50905e-05
93,117.798,0.87579,0.93857,0.98149,0.58538,0.68015,0.65228,0.43327,1.11746,0.79467,1.13787,4.0586e-05,4.0586e-05,4.0586e-05
94,118.766,0.83985,0.90711,0.9701,0.58818,0.69486,0.66498,0.43916,1.11683,0.80284,1.1371,3.60815e-05,3.60815e-05,3.60815e-05
95,119.696,0.83053,0.91315,0.96633,0.59234,0.70912,0.6752,0.44021,1.11806,0.8077,1.13644,3.1577e-05,3.1577e-05,3.1577e-05
96,120.693,0.84564,0.93689,0.97077,0.5902,0.70912,0.67447,0.44284,1.11772,0.81447,1.13463,2.70725e-05,2.70725e-05,2.70725e-05
97,121.684,0.88121,0.92166,0.98078,0.58972,0.70898,0.67925,0.44378,1.11573,0.8183,1.13425,2.2568e-05,2.2568e-05,2.2568e-05
98,122.697,0.89852,0.93733,0.96977,0.64891,0.72873,0.71792,0.4453,1.11214,0.81357,1.13325,1.80635e-05,1.80635e-05,1.80635e-05
99,123.661,0.85852,0.92139,0.96104,0.57939,0.71222,0.67784,0.43817,1.10635,0.8075,1.13036,1.3559e-05,1.3559e-05,1.3559e-05
100,124.616,0.85765,0.90909,0.973,0.56937,0.71029,0.67757,0.43287,1.10228,0.80411,1.13121,9.0545e-06,9.0545e-06,9.0545e-06
